name,year,per_capita_gdp_yuan,total_population_million,urbanization_rate_percent,proportion_of_primary_industry_percent,proportion_of_secondary_industry_percent,proportion_of_the_tertiary_industry_percent,coal_proportion_percent,total_carbon_dioxide_emissions_(_million_tons_)
Anhui,1999,4819.0,60.51,25.22,27.53,35.92,36.55,67.61,137.02
Anhui,2000,5147.0,60.93,28.0,23.7,34.0,42.3,67.82,146.13
Anhui,2001,5732.0,61.28,29.3,21.7,35.9,42.4,69.42,153.62
Anhui,2002,6238.0,61.44,30.7,20.5,35.2,44.3,69.23,160.93
Anhui,2003,7001.0,61.63,32.0,17.4,36.2,46.4,69.42,179.38
Anhui,2004,8279.0,62.28,33.5,18.53,35.99,45.47,68.81,186.37
Anhui,2005,9193.0,61.2,35.5,17.03,38.71,44.26,68.8,196.84
Anhui,2006,10630.0,61.1,37.1,15.55,40.82,43.63,67.2,211.59
Anhui,2007,12989.0,61.18,38.7,14.06,42.46,43.49,66.49,235.3
Anhui,2008,15535.0,61.35,40.5,13.8,44.07,42.13,68.07,268.07
Anhui,2009,17715.0,61.31,42.1,12.73,45.27,42.0,68.85,294.62
Anhui,2010,21923.0,59.57,43.2,12.08,48.27,39.65,67.95,311.83
Anhui,2011,27303.0,59.72,44.8,11.47,50.29,38.24,67.7,337.43
Anhui,2012,30697.0,59.78,46.5,11.01,50.42,38.57,65.56,347.39
Anhui,2013,34404.0,59.88,47.9,10.56,49.72,39.73,64.28,374.62
Anhui,2014,37580.0,59.97,49.15,10.19,48.77,41.04,62.84,385.55
Anhui,2015,39692.0,60.11,50.5,9.97,45.48,44.55,61.89,386.13
Anhui,2016,43686.0,60.33,51.99,9.46,43.78,46.76,61.13,384.95
Anhui,2017,49092.0,60.57,53.49,8.7,42.73,48.57,60.11,397.1
Anhui,2018,56063.0,60.76,54.69,7.76,41.44,50.8,59.18,411.48
Anhui,2019,60561.0,60.92,55.81,7.91,40.63,51.46,58.0,413.61
Beijing,1999,22054.0,12.57,77.3,2.84,32.61,64.55,43.1,96.94
Beijing,2000,25014.0,13.64,77.52,2.42,31.23,66.35,42.4,99.59
Beijing,2001,28097.0,13.85,78.06,2.09,29.19,68.72,41.83,98.19
Beijing,2002,32231.0,14.23,78.57,1.82,27.29,70.89,39.44,96.24
Beijing,2003,36583.0,14.56,79.07,1.6,27.65,70.75,39.99,100.12
Beijing,2004,42402.0,14.93,79.52,1.37,28.37,70.27,39.59,111.21
Beijing,2005,47182.0,15.38,83.62,1.22,26.68,72.11,39.74,113.28
Beijing,2006,53438.0,16.01,84.33,1.04,24.71,74.25,38.53,114.73
Beijing,2007,63629.0,16.76,84.5,0.95,23.15,75.9,35.31,121.33
Beijing,2008,68541.0,17.71,84.9,0.94,21.39,77.67,32.35,120.56
Beijing,2009,71059.0,18.6,85.0,0.91,21.21,77.88,30.5,122.13
