Name;Year;per capita gdp(yuan);total population(million);urbanization rate(%);proportion of primary industry(%);proportion of secondary industry(%);proportion of the tertiary industry(%);coal proportion(%);Total carbon dioxide emissions ( million tons )
Anhui;1999;4819,00 ;60,51 ;25,22 ;27,53 ;35,92 ;36,55 ;67,61 ;137,02 
;2000;5147,00 ;60,93 ;28,00 ;23,70 ;34,00 ;42,30 ;67,82 ;146,13 
;2001;5732,00 ;61,28 ;29,30 ;21,70 ;35,90 ;42,40 ;69,42 ;153,62 
;2002;6238,00 ;61,44 ;30,70 ;20,50 ;35,20 ;44,30 ;69,23 ;160,93 
;2003;7001,00 ;61,63 ;32,00 ;17,40 ;36,20 ;46,40 ;69,42 ;179,38 
;2004;8279,00 ;62,28 ;33,50 ;18,53 ;35,99 ;45,47 ;68,81 ;186,37 
;2005;9193,00 ;61,20 ;35,50 ;17,03 ;38,71 ;44,26 ;68,80 ;196,84 
;2006;10630,00 ;61,10 ;37,10 ;15,55 ;40,82 ;43,63 ;67,20 ;211,59 
;2007;12989,00 ;61,18 ;38,70 ;14,06 ;42,46 ;43,49 ;66,49 ;235,30 
;2008;15535,00 ;61,35 ;40,50 ;13,80 ;44,07 ;42,13 ;68,07 ;268,07 
;2009;17715,00 ;61,31 ;42,10 ;12,73 ;45,27 ;42,00 ;68,85 ;294,62 
;2010;21923,00 ;59,57 ;43,20 ;12,08 ;48,27 ;39,65 ;67,95 ;311,83 
;2011;27303,00 ;59,72 ;44,80 ;11,47 ;50,29 ;38,24 ;67,70 ;337,43 
;2012;30697,00 ;59,78 ;46,50 ;11,01 ;50,42 ;38,57 ;65,56 ;347,39 
;2013;34404,00 ;59,88 ;47,90 ;10,56 ;49,72 ;39,73 ;64,28 ;374,62 
;2014;37580,00 ;59,97 ;49,15 ;10,19 ;48,77 ;41,04 ;62,84 ;385,55 
;2015;39692,00 ;60,11 ;50,50 ;9,97 ;45,48 ;44,55 ;61,89 ;386,13 
;2016;43686,00 ;60,33 ;51,99 ;9,46 ;43,78 ;46,76 ;61,13 ;384,95 
;2017;49092,00 ;60,57 ;53,49 ;8,70 ;42,73 ;48,57 ;60,11 ;397,10 
;2018;56063,00 ;60,76 ;54,69 ;7,76 ;41,44 ;50,80 ;59,18 ;411,48 
;2019;60561,00 ;60,92 ;55,81 ;7,91 ;40,63 ;51,46 ;58,00 ;413,61 
Beijing;1999;22054,00 ;12,57 ;77,30 ;2,84 ;32,61 ;64,55 ;43,10 ;96,94 
;2000;25014,00 ;13,64 ;77,52 ;2,42 ;31,23 ;66,35 ;42,40 ;99,59 
;2001;28097,00 ;13,85 ;78,06 ;2,09 ;29,19 ;68,72 ;41,83 ;98,19 
;2002;32231,00 ;14,23 ;78,57 ;1,82 ;27,29 ;70,89 ;39,44 ;96,24 
;2003;36583,00 ;14,56 ;79,07 ;1,60 ;27,65 ;70,75 ;39,99 ;100,12 
;2004;42402,00 ;14,93 ;79,52 ;1,37 ;28,37 ;70,27 ;39,59 ;111,21 
;2005;47182,00 ;15,38 ;83,62 ;1,22 ;26,68 ;72,11 ;39,74 ;113,28 
;2006;53438,00 ;16,01 ;84,33 ;1,04 ;24,71 ;74,25 ;38,53 ;114,73 
;2007;63629,00 ;16,76 ;84,50 ;0,95 ;23,15 ;75,90 ;35,31 ;121,33 
;2008;68541,00 ;17,71 ;84,90 ;0,94 ;21,39 ;77,67 ;32,35 ;120,56 
;2009;71059,00 ;18,60 ;85,00 ;0,91 ;21,21 ;77,88 ;30,50 ;122,13 
;2010;78307,00 ;19,62 ;85,95 ;0,82 ;21,61 ;77,57 ;29,29 ;122,89 
;2011;86246,00 ;20,24 ;86,23 ;0,78 ;20,73 ;78,49 ;27,66 ;113,82 
;2012;92758,00 ;20,78 ;86,20 ;0,78 ;20,27 ;78,95 ;26,30 ;111,95 
;2013;100569,00 ;21,25 ;86,30 ;0,76 ;19,72 ;79,52 ;25,09 ;98,49 
;2014;106732,00 ;21,71 ;86,35 ;0,69 ;19,34 ;79,97 ;21,20 ;99,51 
;2015;113692,00 ;21,88 ;86,51 ;0,57 ;17,84 ;81,60 ;15,12 ;88,73 
;2016;123391,00 ;21,95 ;86,50 ;0,48 ;17,25 ;82,27 ;11,43 ;79,03 
;2017;136172,00 ;21,94 ;86,50 ;0,41 ;16,90 ;82,69 ;6,61 ;76,52 
;2018;150962,00 ;21,92 ;86,50 ;0,36 ;16,55 ;83,09 ;3,64 ;74,72 
;2019;161776,00 ;21,90 ;86,60 ;0,32 ;15,99 ;83,69 ;2,41 ;73,58 
Fujian;1999;10323,00 ;103,23 ;20,31 ;17,78 ;41,85 ;40,36 ;46,62 ;60,54 
;2000;11194,00 ;111,94 ;41,99 ;16,37 ;43,09 ;40,53 ;45,75 ;66,56 
;2001;11883,00 ;118,83 ;42,76 ;15,33 ;44,11 ;40,56 ;45,42 ;66,97 
;2002;12910,00 ;129,10 ;45,66 ;14,76 ;45,42 ;39,82 ;47,98 ;78,77 
;2003;14330,00 ;143,30 ;46,37 ;13,64 ;46,60 ;39,76 ;48,96 ;93,32 
;2004;16248,00 ;162,48 ;47,63 ;13,36 ;47,95 ;38,70 ;48,98 ;109,43 
;2005;18107,00 ;181,07 ;49,42 ;12,35 ;48,26 ;39,39 ;51,79 ;134,67 
;2006;20915,00 ;209,15 ;50,40 ;11,10 ;48,60 ;40,30 ;51,97 ;147,38 
;2007;25915,00 ;259,15 ;51,38 ;10,20 ;48,49 ;41,31 ;52,17 ;165,27 
;2008;30153,00 ;301,53 ;53,01 ;10,03 ;49,28 ;40,70 ;53,45 ;172,69 
;2009;33999,00 ;339,99 ;55,07 ;8,93 ;49,36 ;41,71 ;50,31 ;203,06 
;2010;40773,00 ;407,73 ;57,11 ;8,46 ;51,36 ;40,18 ;44,86 ;221,45 
;2011;47928,00 ;479,28 ;58,11 ;8,33 ;52,00 ;39,68 ;48,74 ;251,81 
;2012;52959,00 ;529,59 ;59,31 ;8,07 ;52,14 ;39,79 ;47,21 ;249,94 
;2013;58255,00 ;582,55 ;60,80 ;7,75 ;52,46 ;39,79 ;45,28 ;240,26 
;2014;63709,00 ;637,09 ;62,00 ;7,44 ;52,78 ;39,78 ;40,62 ;275,79 
;2015;67649,00 ;676,49 ;63,23 ;7,21 ;51,22 ;41,58 ;38,95 ;266,30 
;2016;74024,00 ;740,24 ;64,39 ;7,24 ;49,59 ;43,16 ;35,75 ;248,63 
;2017;83758,00 ;837,58 ;65,78 ;6,55 ;48,13 ;45,32 ;37,05 ;264,36 
